"filename", "language", "Java Properties", "YAML", "XML", "Batch", "Java", "comment", "blank", "total"
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/UserServiceImpl.java", "Java", 0, 0, 0, 0, 66, 0, 26, 92
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/resources/application.properties", "Java Properties", 8, 0, 0, 0, 0, 3, 4, 15
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/NaturalistApplicationTests.java", "Java", 0, 0, 0, 0, 22, 0, 10, 32
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/configTests/AnimalMovementSchedulerTest.java", "Java", 0, 0, 0, 0, 36, 0, 16, 52
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/configTests/geoUtilsTest.java", "Java", 0, 0, 0, 0, 3, 0, 3, 6
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/controllerTests/AdminControllerTest.java", "Java", 0, 0, 0, 0, 107, 6, 33, 146
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/controllerTests/CheckInControllerTest.java", "Java", 0, 0, 0, 0, 119, 1, 32, 152
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/controllerTests/LogInControllerTest.java", "Java", 0, 0, 0, 0, 84, 0, 29, 113
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/controllerTests/ParkControllerTest.java", "Java", 0, 0, 0, 0, 71, 1, 21, 93
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/controllerTests/SightingControllerTest.java", "Java", 0, 0, 0, 0, 102, 0, 33, 135
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/controllerTests/UserControllerTest.java", "Java", 0, 0, 0, 0, 67, 0, 19, 86
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/entityTests/ParkTest.java", "Java", 0, 0, 0, 0, 94, 0, 18, 112
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/serviceTests/GameificationServiceTest.java", "Java", 0, 0, 0, 0, 82, 5, 34, 121
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/serviceTests/LocationServiceTest.java", "Java", 0, 0, 0, 0, 41, 0, 19, 60
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/serviceTests/ParkServiceTest.java", "Java", 0, 0, 0, 0, 71, 0, 25, 96
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/serviceTests/SightingServiceTest.java", "Java", 0, 0, 0, 0, 64, 0, 27, 91
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/java/com/pocket/naturalist/serviceTests/UserServiceTest.java", "Java", 0, 0, 0, 0, 147, 1, 47, 195
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/test/resources/application.properties", "Java Properties", 8, 0, 0, 0, 0, 3, 4, 15
"Total", "-", 19, 0, 132, 139, 2818, 188, 1096, 4392
